epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,96.5984,1.35135,4.36339,1.6374,0.00617,0.01667,0.00198,0.00139,2.8061,5.39609,3.13457,2.55731e-05,2.55731e-05,2.55731e-05
72,97.5687,1.12344,4.09952,1.66831,0.00641,0.01667,0.00158,0.00095,2.7682,5.35242,3.14076,2.5102e-05,2.5102e-05,2.5102e-05
73,98.5266,1.32511,4.26771,1.80616,0.00641,0.01667,0.00158,0.00095,2.7682,5.35242,3.14076,2.46073e-05,2.46073e-05,2.46073e-05
74,99.4762,0.9659,4.1926,1.4523,0.00641,0.01667,0.00158,0.00095,2.7682,5.35242,3.14076,2.40891e-05,2.40891e-05,2.40891e-05
75,100.449,1.24656,4.28035,1.65152,0.00667,0.01667,0.00176,0.00106,2.78615,5.35504,3.16107,2.35472e-05,2.35472e-05,2.35472e-05
76,101.382,1.03335,3.93837,1.45128,0.00667,0.01667,0.00176,0.00106,2.78615,5.35504,3.16107,2.29819e-05,2.29819e-05,2.29819e-05
77,102.333,1.12961,4.39895,1.54788,0.00667,0.01667,0.00176,0.00106,2.78615,5.35504,3.16107,2.23929e-05,2.23929e-05,2.23929e-05
78,103.31,1.28999,4.28163,1.77799,0.00694,0.01667,0.00198,0.00119,2.77579,5.35356,3.16565,2.17805e-05,2.17805e-05,2.17805e-05
79,104.253,1.21373,4.07049,1.66722,0.00694,0.01667,0.00198,0.00119,2.77579,5.35356,3.16565,2.11444e-05,2.11444e-05,2.11444e-05
80,105.198,1.47518,4.18654,1.73298,0.00694,0.01667,0.00198,0.00119,2.77579,5.35356,3.16565,2.04848e-05,2.04848e-05,2.04848e-05
81,106.165,1.16101,4.19462,1.69122,0.00725,0.01667,0.00176,0.00106,2.75545,5.36739,3.15647,1.98016e-05,1.98016e-05,1.98016e-05
82,107.112,0.98764,4.01422,1.68092,0.00725,0.01667,0.00176,0.00106,2.75545,5.36739,3.15647,1.90949e-05,1.90949e-05,1.90949e-05
83,108.613,1.05547,4.04863,1.70247,0.00725,0.01667,0.00176,0.00106,2.75545,5.36739,3.15647,1.83646e-05,1.83646e-05,1.83646e-05
84,109.587,1.12233,3.83567,1.5312,0.00725,0.01667,0.00158,0.00095,2.75264,5.35316,3.19457,1.76107e-05,1.76107e-05,1.76107e-05
85,110.547,1.38506,4.06137,1.7291,0.00725,0.01667,0.00158,0.00095,2.75264,5.35316,3.19457,1.68333e-05,1.68333e-05,1.68333e-05
86,111.52,1.29037,4.05573,1.65325,0.00725,0.01667,0.00158,0.00095,2.75264,5.35316,3.19457,1.60323e-05,1.60323e-05,1.60323e-05
87,112.488,1.09816,4.27668,1.71482,0.00725,0.01667,0.00158,0.00095,2.75264,5.35316,3.19457,1.52077e-05,1.52077e-05,1.52077e-05
88,113.468,1.24921,3.9758,1.52812,0.00758,0.01667,0.00158,0.00079,2.7774,5.37001,3.23828,1.43596e-05,1.43596e-05,1.43596e-05
89,114.399,0.86458,3.77699,1.55291,0.00758,0.01667,0.00158,0.00079,2.7774,5.37001,3.23828,1.34879e-05,1.34879e-05,1.34879e-05
90,115.356,1.25174,3.99219,1.92378,0.00758,0.01667,0.00158,0.00079,2.7774,5.37001,3.23828,1.25927e-05,1.25927e-05,1.25927e-05
91,117.04,0.99399,3.91439,1.63648,0.00758,0.01667,0.00158,0.00079,2.7774,5.37001,3.23828,1.16739e-05,1.16739e-05,1.16739e-05
92,118.034,1.13828,4.13014,1.83502,0.00758,0.01667,0.00176,0.00088,2.80865,5.37252,3.25214,1.07315e-05,1.07315e-05,1.07315e-05
93,119.614,1.11888,3.92359,1.75446,0.00758,0.01667,0.00176,0.00088,2.80865,5.37252,3.25214,9.76562e-06,9.76562e-06,9.76562e-06
94,122.62,1.20686,4.05439,1.56613,0.00758,0.01667,0.00176,0.00088,2.80865,5.37252,3.25214,8.77613e-06,8.77613e-06,8.77613e-06
